Sector,Latitude,Longitude
Sector 1,28.5175247,77.0425692
Sector 2,28.5090499,77.0342831
Sector 3,28.4973905,77.020526
Sector 4,28.4750063,77.0103535
Sector 5,28.4803924,77.0190946
Sector 6,28.4753259,77.0258279
Sector 7,28.4662572,77.0142654
Sector 8,28.4598966,77.0198043
Sector 9,28.3840986,76.8861337
Sector 10,28.4445813,77.0060231
Sector 11,28.3781429,76.8753775
Sector 12,28.3924111,76.8985144
Sector 13,28.4745997,77.036719
Sector 14,28.473784,77.0471827
Sector 15,28.3843199,76.9122326
Sector 16,28.4687344,77.0511794
Sector 17,28.4758035,77.0607773
Sector 18,28.4913452,77.0710259
Sector 19,28.5030913,77.0817477
Sector 20,28.5107707,77.0847586
Sector 21,28.5143629,77.0730087
Sector 22,28.506318,77.0655182
Sector 23,28.510319,77.0530094
Sector 24,28.4944811,77.1013038
Sector 25,28.4860888,77.084224
Sector 26,28.4779375,77.1032425
Sector 27,28.4646566,77.0839505
Sector 28,28.4741302,77.0825722
Sector 29,28.4669197,77.0671306
Sector 30,28.4618719,77.05688
Sector 31,28.4540044,77.0497179
Sector 32,28.4458035,77.0413169
Sector 33,28.4384785,77.0251655
Sector 34,28.4280033,77.0115678
Sector 35,28.4145669,77.0018689
Sector 36,28.419334,76.9889256
Sector 37,28.4342681,76.999294
Sector 38,28.4351423,77.0403538
Sector 39,28.4423675,77.0504724
Sector 40,28.4500427,77.0577093
Sector 41,28.4569188,77.0646046
Sector 42,28.4558973,77.1084759
Sector 43,28.4548735,77.0858864
Sector 44,28.4507064,77.0738281
Sector 45,28.4449004,77.0663545
Sector 46,28.4359133,77.0584045
Sector 47,28.4251572,77.0475128
Sector 48,28.4104903,77.0394627
Sector 49,28.4128851,77.0498362
Sector 50,28.4166536,77.0611745
Sector 51,28.4287011,77.0666877
Sector 52,28.4368166,77.0795276
Sector 53,28.4415191,77.096805
Sector 54,28.4421059,77.1112654
Sector 55,28.4274166,77.1097538
Sector 56,28.4253232,77.0985157
Sector 57,28.4232478,77.0804487
Sector 58,28.4160012,77.1085564
Sector 59,28.4030162,77.1066682
Sector 60,28.3985617,77.0978276
Sector 61,28.4110188,77.0963685
Sector 62,28.407697,77.0823781
Sector 63,28.3964476,77.086498
Sector 64,28.3914643,77.0761983
Sector 65,28.4030162,77.0695893
Sector 66,28.3974292,77.0538823
Sector 67,28.3864052,77.0598046
Sector 68,28.388897,77.0459859
Sector 69,28.3960701,77.0372311
Sector 70,28.3947261,77.0223138
Sector 71,28.4064564,77.0233125
Sector 72,28.4159257,77.0290772
Sector 73,28.4088081,77.0161691
Sector 74,28.4110081,77.0101209
Sector 75,28.3964476,77.0065896
Sector 76,28.3910112,76.9900243
Sector 77,28.3832337,76.982557
Sector 78,28.3725283,76.9702955
Sector 79,28.5030913,77.0817477
Sector 80,28.3702173,76.9611159
Sector 81,28.3873647,76.9475835
Sector 82,28.3931076,76.9588762
Sector 83,28.3981087,76.9732873
Sector 84,28.4082289,76.9630245
Sector 85,28.403652,76.9531428
Sector 86,28.3981205,76.9411257
Sector 87,28.3922194,76.9291703
Sector 88,28.4219647,76.9568078
Sector 89,28.4184455,76.9457567
Sector 90,28.4069974,76.9365562
Sector 91,28.4007588,76.9210802
Sector 92,28.4089049,76.9155232
Sector 93,28.4156048,76.931638
Sector 94,28.4219647,76.9297711
Sector 95,28.4149443,76.9114892
Sector 96,28.5030913,77.0817477
Sector 97,28.4092824,76.8805901
Sector 98,28.5030913,77.0817477
Sector 99,28.4645549,76.9628585
Sector 100,28.4613898,76.9712708
Sector 101,28.4684077,76.9803787
Sector 102,28.4754872,76.9711747
Sector 103,28.493087,76.9866453
Sector 104,28.4795324,76.9937197
Sector 105,28.4943133,77.0081378
Sector 106,28.5060806,76.9967796
Sector 107,28.506941,76.9752137
Sector 108,28.5128994,76.9823615
Sector 109,28.5109205,77.0065956
Sector 110,28.5069625,77.018321
Sector 111,28.5222773,77.0336203
Sector 112,28.5203402,77.0188612
Sector 113,28.5286649,77.0250282
Sector 114,28.5327129,77.0122454
Sector 115,28.5357856,77.0062587
